Unnamed: 0,English Name,Chinese Name,English Movie Genre,Chinese Movie Genre,BVID,Movie Runtime/s,likes,saves,coins,views
0,Batman Dark Knight,蝙蝠侠黑暗骑士,Drama/Action/Sci-Fi/ComicAdaptation,剧情/动作/科幻/漫画改,BV1HJ411T7pY,9130,187135,38982,106141,32233736
1,Be Somebody,扬名立万,Mystery/Comedy/Drama,悬疑/喜剧/剧情,BV1PY41187dE,7398,589763,128351,378322,93167539
2,Forrest Gump,阿甘正传,Drama/Romance/BasedonNovel,剧情/爱情/小说改,BV1zW411d7Rb,8436,307096,105913,216582,31265944
3,Big World Gashapon,大世界扭蛋机,Drama/Comedy/Romance/Sci-Fi,剧情/喜剧/爱情/科幻,BV1aG411p75V,2316,21946,6636,6091,6977674
4,Godzilla,哥斯拉,Action/Sci-Fi/Adventure/Disaster,动作/科幻/冒险/灾难,BV1FJ411q78j,7910,94423,16227,40524,16217191
5,Green Book,绿皮书,Drama/Comedy/Biography,剧情/喜剧/传记,BV1EA411t7u7,7814,653435,148946,307675,37510869
6,Harry Potter And The Goblet Of Fire,哈利·波特与火焰杯,Drama/NovelAdaptation/Adventure/Fantasy,剧情/小说改/冒险/奇幻,BV1e441127YF,9428,228602,33413,91822,30137788
7,Heidi,海蒂和爷爷,NovelAdaptation/Adventure/Drama/Family,小说改/冒险/剧情/家庭,BV114411N7J1,6384,233992,131900,136564,18623421
8,Kung Fu,功夫,Comedy/Action/Crime/Fantasy,喜剧/动作/犯罪/奇幻,BV1UJ41157md,5968,316946,43913,185666,35293738
9,Let The Bullets Fly,让子弹飞,Drama/Comedy/Action,剧情/喜剧/动作,BV14W411g72d,7600,1409123,251338,1050873,118246295
10,The Legend Of Luo Xiaohei,罗小黑传奇,Action/Fantasy/Animation,动作/奇幻/动画,BV1xE411C7hZ,6102,751287,146896,670884,69124906
11,The Bad Guys,坏蛋联盟,Comedy/Animation/Adventure,喜剧/动画/冒险,BV1fa411d7tQ,6014,339710,80934,140454,36338365
12,The Shawshank Redemption,肖申克的救赎,Crime/Drama/NovelAdaptation,犯罪/剧情/小说改,BV1NJ411G7ZA,8554,627183,179398,439495,47619335
13,The Wandering Earth Ii,流浪地球2,Sci-Fi/Adventure/Disaster,科幻/冒险/灾难,BV1A54y1F7v6,10394,648920,158446,487031,70244946
14,Weathering With You,天气之子,Romance/Fantasy/Animation,爱情/奇幻/动画,BV1WA411v7nS,6742,696944,168045,672438,50771370
15,White Snake,白蛇：缘起,Animation/Comedy/Romance,动画/喜剧/爱情,,6116,,,,
16,World War Z,末日之战,Action/Horror/Sci-Fi/NovelAdaptation,动作/恐怖/科幻/小说改,BV11c411h7yB,7384,256269,53728,97804,33545337
17,Yang Jian,新神榜：杨戬,Action/Animation/Fantasy/Adventure,动作/动画/奇幻/冒险,BV1CV4y1G7fX,7648,276983,62126,136248,36187852
18,Suzume,铃芽之旅,Animation,动画,BV1134y1g7Vq,7284,311725,111077,178887,29431269
19,Johnny Keep Walking!,年会不能停！,Drama/Comedy,剧情/喜剧,BV11x4y117NY,7026,300654,71301,203613,29868403
20,The Lord Of The Rings: The Fellowship Of The Ring,指环王1：护戒使者,Drama/Action/Fantasy/NovelAdaptation,剧情/动作/奇幻/小说改,BV147411y71D,13692,199129,54962,119279,32094702
21,The Spongebob Squarepants Movie,海绵宝宝历险记,Comedy/Animation/Adventure,喜剧/动画/冒险,BV14b411c72z,5232,356554,43624,98686,49214063
22,Our Fathers,我们的父辈,Drama/Romance/History/War,剧情/爱情/历史/战争,BV14E411C7Lf,5434,128428,58427,44774,11910110
23,Detective Conan: The Phantom Of Baker Street,名侦探柯南：贝克街的亡灵,ComicAdaptation/Mystery/Strategy/Suspense,漫画改/推理/智斗/悬疑,BV14T4y1u7ST,6446,127519,25662,73666,16555049
24,Love Letter,情书,Drama/Romance,剧情/爱情,BV163411i7Un,7000,241742,121995,149983,17850566
25,Harry Potter And The Order Of The Phoenix,哈利·波特与凤凰社,Drama/NovelAdaptation/Adventure/Fantasy,剧情/小说改/冒险/奇幻,BV164411k73g,8296,195463,28497,83897,25982416
26,Detective Conan: The Bride Of Halloween,名侦探柯南：万圣节的新娘,Animation/Suspense/Action,动画/悬疑/动作,BV16e4y1P7sa,6348,179137,47665,66157,25114312
27,White Snake 2: The Tribulation Of Green Snake,白蛇2：青蛇劫起,Fantasy/Animation/Adventure,奇幻/动画/冒险,BV17f4y1n7et,7920,393188,69085,228667,32834151
28,New Gods: Nezha Reborn,新神榜：哪吒重生,Action/Fantasy/Animation,动作/奇幻/动画,BV17h411D7aX,7032,320492,33305,166687,29231566
29,The Truman Show,楚门的世界,Drama/Sci-Fi,剧情/科幻,BV17W411r78v,6176,346250,102357,145926,27435413
30,Transformers,变形金刚,Action/Sci-Fi,动作/科幻,BV17W411Z7Lh,8606,166431,29072,59574,26729946
31,Flipped,怦然心动,Drama/Comedy/Romance/NovelAdaptation,剧情/喜剧/爱情/小说改,BV18E411e7By,5384,292473,121219,192779,24373809
32,"The Pig, The Snake And The Pigeon",周处除三害,Crime/Action/Drama/Suspense,犯罪/动作/剧情/悬疑,BV191421B7B9,8020,325659,74013,112172,28705033
33,Date A Live Movie: Mayuri Judgment,约会大作战 万由里裁决,Battle,战斗,BV19x41127Nd,4358,82907,13190,105679,19278832
34,Rascal Does Not Dream Of A Dreaming Girl,青春猪头少年不会梦到怀梦美少女,NovelAdaptation/TimeTravel/Fantasy/School,小说改/穿越/奇幻/校园,BV1BJ411S7Ch,5400,583943,108878,1087067,31452035
35,Violet Evergarden: The Movie,紫罗兰永恒花园剧场版,Animation/Fantasy/Romance/Drama,动画/奇幻/爱情/剧情,BV1bL411578p,8400,632672,197809,600714,30192275
36,Journey To The West,宇宙探索编辑部,Comedy/Sci-Fi,喜剧/科幻,BV1bz4y1a7QZ,7060,268936,123179,186422,19214566
37,Sword Art Online: Ordinal Scale,刀剑神域：序列之争,Sci-Fi/Animation/Adventure,科幻/动画/冒险,BV1cW411a7ed,7222,243940,28023,296320,44796888
38,Overlord: The Dark Hero,不死者之王：漆黑的英雄,Fantasy/Battle/Magic/Adventure,奇幻/战斗/魔法/冒险,BV1Ds411V7cP,6420,86131,7390,38555,28529703
39,Rurouni Kenshin,浪客剑心,Drama/Action/History/ComicAdaptation,剧情/动作/历史/漫画改,BV1dU4y1g73N,8062,181766,59522,89214,18464776
40,A Silent Voice,声之形,Animation/Romance/Drama/ComicAdaptation,动画/爱情/剧情/漫画改,BV1Dx411u7jw,6586,639119,155482,767633,48521511
41,Harry Potter And The Half-Blood Prince,哈利·波特与混血王子,Drama/Fantasy/Adventure/NovelAdaptation,剧情/奇幻/冒险/小说改,BV1e4411k74a,9212,180380,26775,81769,24094872
42,Harry Potter And The Chamber Of Secrets,哈利·波特与密室,Drama/NovelAdaptation/Adventure/Fantasy,剧情/小说改/冒险/奇幻,BV1E4411U7Qu,10466,270225,44654,125808,38734324
43,Still Miss You,还是觉得你最好,Comedy/Romance/Drama,喜剧/爱情/剧情,BV1ED4y1j7Jn,6974,48795,17419,26874,7844385
44,Ready Player One,头号玩家,Action/Sci-Fi/Adventure,动作/科幻/冒险,BV1Ee4y1B74h,8400,257699,74263,109988,24656540
45,Edge Of Tomorrow,明日边缘,Action/Sci-Fi/NovelAdaptation,动作/科幻/小说改,BV1eJ411B7to,6810,151308,31041,56458,15350776
46,Transformers: Revenge Of The Fallen,变形金刚2：堕落者的复仇,Action/Sci-Fi,动作/科幻,BV1Fb411F7fk,8968,156143,16130,38373,16281041
47,Fate Stay Night: Heaven'S Feel I. Presage Flower,命运之夜——天之杯：恶兆之花,Fantasy/Animation,奇幻/动画,BV1Fb411z7Zy,7124,154745,27863,136828,30338922
48,Fantastic Beasts And Where To Find Them,神奇动物在哪里,Drama/Fantasy/Adventure,剧情/奇幻/冒险,BV1ht4y1D7tG,7974,219630,43627,95368,25662007
49,Harry Potter And The Sorcerer'S Stone,哈利·波特与魔法石,Drama/NovelAdaptation/Adventure/Fantasy,剧情/小说改/冒险/奇幻,BV1j4411X7CV,9532,510544,142417,247759,72792769
50,Promare,普罗米亚,Animation/Sci-Fi/Action/Drama,动画/科幻/动作/剧情,BV1j44y1y7YQ,6674,206081,62508,127197,9803980
51,Fireworks,烟花,Drama/Animation,剧情/动画,BV1kJ411j7pH,5406,155584,45773,117750,14776773
52,Goodbye Mr. Loser,夏洛特烦恼,Comedy/Romance,喜剧/爱情,BV1kK4y1b7dH,5990,329045,29893,94907,35493986
53,Tamako Love Story,玉子爱情故事,School/Girl/Romance,校园/少女/恋爱,BV1Kx411p7hz,5044,455003,127795,508109,34912064
54,Leap,夺冠,Drama,剧情,BV1ky4y167Tg,8088,302123,19642,158578,54920357
55,A Little Thing Called Love,初恋这件小事,Drama/Comedy/Romance,剧情/喜剧/爱情,BV1Lp411R7Fx,7094,122410,37834,74932,13595961
56,The Legend Of Sealed Book,天书奇谭,Fantasy/Animation,奇幻/动画,BV1LP4y1H7TJ,6038,244727,84963,145939,21698889
57,The Spongebob Movie: Sponge Out Of Water,海绵宝宝历险记,Comedy/Animation/Adventure,喜剧/动画/冒险,BV1M7411J7kP,5578,211524,23206,80010,31120860
58,The Garden Of Words,言叶之庭,SliceofLife/Girl/Healing,日常/少女/治愈,BV1ms411U75B,2792,475670,163397,408942,43245343
59,Kowloon Walled City,九龙城寨,Drama/Action/History/Crime,剧情/动作/历史/犯罪,BV1mw4m1e7BD,7506,70771,26003,33961,16371065
60,The Silence Of The Lambs,沉默的羔羊,Drama/Crime/Thriller/NovelAdaptation,剧情/犯罪/惊悚/小说改,BV1na4y1Y7rR,7114,213793,50386,51864,20865830
61,Inception,盗梦空间,Drama/Sci-Fi/Suspense/Adventure,剧情/科幻/悬疑/冒险,BV1NE411C7Ti,8890,314363,97060,172390,35863329
62,Interstellar,星际穿越,Drama/Sci-Fi/Adventure,剧情/科幻/冒险,BV1nE411f7DU,10146,610930,209638,481248,45417493
63,Deep Sea,深海,Animation/Fantasy,动画/奇幻,BV1ns4y1n72R,6722,461099,135909,367267,31660094
64,Jiang Ziya,姜子牙,Drama/Fantasy/Animation,剧情/奇幻/动画,BV1Ny4y1k7Em,6598,293197,19304,92017,25658357
65,Harry Potter And The Deathly Hallows Part 2,哈利·波特与死亡圣器（下）,Drama/Suspense/Fantasy/NovelAdaptation,剧情/悬疑/奇幻/小说改,BV1pJ411P7Ex,7828,186105,27843,91163,20860775
66,Cj7,长江七号,Comedy/Sci-Fi,喜剧/科幻,BV1pP4y147bk,5302,192644,21915,32318,12221790
